admit,gre,gpa,rank,prob,prob_resp
NA,800,4,1,0.7276521584109891,Y
NA,640,3.19,4,0.03604173025670121,N
NA,560,2.98,1,0.43904847548939846,Y
NA,400,3.08,2,0.36335334495656185,N
NA,800,4,4,0.5217764119417166,Y
NA,440,3.22,1,0.5109637067774353,Y
NA,800,3.75,2,0.42681142467456445,Y
NA,540,3.81,1,0.6800586228358223,Y
NA,660,3.63,2,0.4152003150956826,Y
NA,600,2.82,4,0.007943970561757682,N
NA,760,3.35,2,0.38849128183453385,N
NA,360,3.14,1,0.48689459010199687,Y
NA,580,3.25,1,0.5199825192949568,Y
NA,560,2.42,2,0.30516199888424067,N
NA,580,3.32,2,0.3856659077775826,N
NA,600,3.15,2,0.3698054590041019,N
NA,500,3.31,3,0.20688591576350146,N
NA,700,2.94,2,0.35059743814756456,N
NA,460,3.45,3,0.23038790954347016,N
NA,500,2.97,4,0.0147356777993146,N
NA,640,3.86,3,0.3094003871852725,N
NA,740,4,3,0.3395620162691388,N
NA,560,3.19,3,0.1881908340718246,N
NA,380,2.94,3,0.15346730377486723,N
NA,600,2.82,4,0.007943970561757682,N
NA,680,3.85,3,0.30730306541059105,N
NA,580,4,3,0.3395620162691388,N
NA,620,3.3,1,0.5349820939908094,Y
NA,580,3.69,1,0.647849086179156,Y
NA,800,3.73,1,0.658753812909928,Y
NA,580,4,2,0.4512475810690021,Y
NA,720,3.45,4,0.09943585343751267,N
NA,720,4,3,0.3395620162691388,N
NA,800,4,3,0.3395620162691388,N
NA,540,3.12,1,0.4808824428259525,Y
NA,620,4,1,0.7276521584109891,Y
NA,620,3.07,2,0.3624355540019139,N
NA,500,2.71,2,0.3301036964875346,N
NA,600,3.48,2,0.40081917719201976,Y
NA,700,3.28,1,0.5289883269290223,Y
NA,700,3.83,2,0.4345980591734286,Y
NA,800,3.9,2,0.44143807873579133,Y
NA,580,2.93,2,0.3496941695622489,N
NA,660,3.44,2,0.3970117982828429,N
NA,660,3.33,2,0.3866068537464015,N
NA,480,3.57,2,0.40942904343572983,Y
NA,700,2.88,2,0.34519408829483367,N
NA,400,3.31,3,0.20688591576350146,N
NA,380,3.33,4,0.06277943654308221,N
NA,540,3.94,3,0.3264575208871047,N
NA,660,3.95,2,0.4463376060006094,Y
NA,740,2.97,2,0.35331365524939623,N
NA,700,3.56,1,0.6113802537056887,Y
NA,480,3.13,2,0.367957130220153,N
NA,400,2.93,3,0.15219405499701497,N
NA,480,3.45,2,0.3979624938710251,N
NA,600,3.22,1,0.5109637067774353,Y
NA,440,3.45,2,0.3979624938710251,N
NA,480,2.67,2,0.3266018986669046,N
NA,540,3.19,2,0.3735135448954071,N
NA,620,3.17,2,0.3716576127849298,N
NA,640,2.79,2,0.33716383211641443,N
NA,580,3.4,2,0.3932168512608411,N
NA,700,3.52,4,0.12875981768893172,N
NA,800,3.74,1,0.6614544899184787,Y
